Bryant Jackson-Green	@BryantJG
Aditi Qamra	@Itti_Q
Volodymyr Miz	@mizvladimir
Elena Glassman	@roboticwrestler
Bongshin Lee	@bongshin
Jeffrey Heer	@jeffrey_heer
Daniel Angus	@antmandan
Vasia Kalavri	@vkalavri
Hanspeter Pfister	@hpfister
Nuray Yozbatiran	@NurayYozbatiran
Mariya I. Vasileva	@mariyaivasileva
Rafael H. M. Pereira Urban Demographics	@UrbanDemog
Tomasz Malisiewicz	@quantombone
Andr Pase	@andrepase
Fred Hohman	@fredhohman
Rachel Falconer	@RachelMFalconer
Zijie Jay Wang	@Jay4w
Jonathan N. Katz	@Jonathan_N_Katz
Uri Schonfeld	@shuri_org
Nelson Silva	@njssnjss
Andy Prata	@andyprata
Abhishek Koladiya	@abhivkoladiya
Gabriela Gongora-Svartzman	@ProfGS_
Kolawole J. Adebayo	@collawolley
Salim Arslan	@salimarslan
Filip Dabek	@FilipJDabek
MIT CSAIL	@MIT_CSAIL
Yisong Yue	@yisongyue
Michal Tal	@ImmunoFever
Douglas Eck	@douglas_eck
Kai Arulkumaran	@kaixhin
Ari Morcos	@arimorcos
David van Dijk	@david_van_dijk
Shameer Khader	@kshameer
Rex Douglass	@RexDouglass
Dominik Moritz	@domoritz
Adam Chekroud	@drchekkers
Leonardo F. Nascimento	@leofn3
dhiraj murthy	@dhirajmurthy
Justin Matejka	@JustinMatejka
Vincent van Unen	@VincentvUnen
buddhika bellana	@buddhikabellana
Maren Friesen	@symbiomics
Feng Liu	@liufengbrain
Joses Ho	@jacuzzijo
Jordan Barria Pineda	@j_barria
Frank Schlosser	@franksh_
Aditeya Pandey	@aaditeya
Paul Brewer	@drpaulbrewer
David Sumpter	@Soccermatics
Derya Unutmaz	@Derya_
Interactive Data Lab	@uwdata
Alex Chaucer	@geoparadigm
Anna Huang	@huangcza
Rogers State U.	@RogersStateU
John Alexis Guerra G mez	@duto_guerra
Chris Choy	@realChrisChoy
Fowler School of Law	@Chapman_Law
Felix Bethke	@F_Bethke
Robert Manduca	@robertmanduca
Jonas Sch ley	@jschoeley
Iker Jamardo Zugaza	@judax
Christoph Kinkeldey	@geovisual
Tom Le Paine	@TomLePaine
Bernease Herman	@bernease
Nezar Abdennur	@nv1ctus
Diego Garcia-Olano	@dgolano
Steve Smith	@spsmith1
Johannes Chalupa	@JohChalupa
Neo Mohsenvand	@mohsenvand
John Thompson	@jr_thomp
Tapsi Kumar	@TapsiKS
Ashish Jaiswal	@ashiz2013
Michael O'Riordan	@M_O_Riordan
John Mercer	@john_d_mercer
Jeffrey Shaffer	@DataPlusScience
Will Knight	@willknight
ahmed ghappour	@ghappour
Mark Thornton	@Mark_A_Thornton
Simon Colton	@SimonGColton
Janet Martin	@janetmartinwho
Pelayo Arbu s	@pelayoarbues
Maximilian Doelle	@M_Doelle
Luke Sanford	@LC_Sanford
Boris M ller	@borism
UChicago CAPP	@UChicagoCAPP
James Bailey	@jbailey
AR in ACTION	@ARinACTION
Dilyana Bossenz	@VizPilgrim
Georgios Psychogios	@Geo_Psychogios
Xavi Gim nez	@xavigimenez
Federico Pernici	@FedPernici
Michael Peer	@michael_peer_
P draig Mac Aodhg in	@drpatrickegan
Gaudio Lab Inc.	@gaudiolab
Sezer Kutluk	@sezerkutluk
Scott Carter	@HereticalSraffa
Carolina Nobre	@carolinanobre84
Juan Thomassie	@jthomassie1
Paul Parsons	@drpaulparsons
Weihao Yu	@yuwh
Mia Feng	@mia_mifeng
Chiyu Weng	@bramasolo
Najmeh Taleb	@NajmehTaleb
Jaime Snyder	@jay_ess
Adrien Todeschini	@adrtod
Aba Crentsil	@AOCrentsil
Karthik Duddu	@karthikduddu
Liu Liu	@liuxliu_66
Miles Brundage	@Miles_Brundage
Joshua Stevens	@jscarto
Bharath Ramsundar	@rbhar90
Jessica Hullman	@JessicaHullman
Carmen Ng	@Carmen_NgKaMan
Alex Engler	@AlexCEngler
Bill Chen	@realchillben
Junfan Zhu IROS	@junfanzhu98
Meredith Martin	@mmvty
Katie McDonough	@khetiwe24
Martin Tomko	@dinomirMT
Joel Eden	@joeleden
Michael Widner	@mwidner
Fredrik Thomassen	@f_thomassen
Branden Murray	@bmurr26
NDSU Research Tech Park	@NDSURTP
Deepak Nathani	@deepaknathani11
Doyle Groves	@deejmon
Alex Sherstinsky	@AlexSherstinsky
Hassan Hijazi	@HassanLHijazi
Bum Chul Kwon	@BCKwon
Jason Park	@JasonPathology
Andrea Bonilla	@datasci_andrea
Dan Paul Smith	@danpaulsmith
Ben Moore	@benjaminlmoore
Damon Civin	@DCivin
Not happy with the bigot tweets in timeline	@SteveAtTheMac
Sue Michael	@soomichael
Hyemi Song	@BohyemianSong
Brian McMahan	@bcmcmahan
Joshua Fink	@joshjfink
Hua Guo	@Tacitia
Gianluca Biotto	@gianluca_b8
Elie Ritch	@SudomanX
Federico Castanedo	@overfit
Julian Derungs	@JulianDerungs
