Najmeh Taleb	@NajmehTaleb
Jaime Snyder	@jay_ess
Adrien Todeschini	@adrtod
Aba Crentsil	@AOCrentsil
Karthik Duddu	@karthikduddu
Liu Liu	@liuxliu_66
Miles Brundage	@Miles_Brundage
Joshua Stevens	@jscarto
Bharath Ramsundar	@rbhar90
Jessica Hullman	@JessicaHullman
Carmen Ng	@Carmen_NgKaMan
Alex Engler	@AlexCEngler
Bill Chen	@realchillben
Junfan Zhu IROS	@junfanzhu98
Meredith Martin	@mmvty
Katie McDonough	@khetiwe24
Martin Tomko	@dinomirMT
Joel Eden	@joeleden
Michael Widner	@mwidner
Fredrik Thomassen	@f_thomassen
Branden Murray	@bmurr26
NDSU Research Tech Park	@NDSURTP
Deepak Nathani	@deepaknathani11
Doyle Groves	@deejmon
Alex Sherstinsky	@AlexSherstinsky
Hassan Hijazi	@HassanLHijazi
Bum Chul Kwon	@BCKwon
Jason Park	@JasonPathology
Andrea Bonilla	@datasci_andrea
Dan Paul Smith	@danpaulsmith
Ben Moore	@benjaminlmoore
Damon Civin	@DCivin
Not happy with the bigot tweets in timeline	@SteveAtTheMac
Sue Michael	@soomichael
Hyemi Song	@BohyemianSong
Brian McMahan	@bcmcmahan
Joshua Fink	@joshjfink
Hua Guo	@Tacitia
Gianluca Biotto	@gianluca_b8
Elie Ritch	@SudomanX
Federico Castanedo	@overfit
Julian Derungs	@JulianDerungs
Michael Tu	@tuzhucheng
Dean Farrell	@farrelldlfarrel
QUT BDA	@QUT_BDA
Mike Taptich	@MikeTaptich
Kyle Dunovan	@dunovank
Johanna Fulda	@jofu_
Freeman Wang	@freestatman
Matt Michel	@ninjaPixel
Peter Butcher	@pwsbutcher
Ismail Uddin	@ismailud
Kevin Mader	@KevinSMader
Rafael Quintana	@RafaelQuintanaU
Herr Professor Doktor Kurtsy	@kurtsy
Colin El	@ce1337
Chris Reudenbach	@creuden
Brian Fisher	@brfisher
Zack D	@superturbos
Ian McKenzie	@McKenzieIA
John Walley	@DoWhatIMean
Sixthirtyone News	@631news
MSU Students for Lib	@MSULiberty
